('aKila', 'a)niKila', 'b)yamaH', 'c)indrajAlam', 'd)karkawaSfNgI')
('darSana', 'a)upanizad', 'b)aBizeRam', 'c)BUDarAkA', 'd)apanIta')
('saMjYA', 'a)tvAzwrI', 'b)vamanIyA', 'c)pOraH', 'd)devakaH')
('SANKa', 'a)SANKika', 'b)pfzWam', 'c)kupinI', 'd)garjanam')
('tArasAra', 'a)upanizad', 'b)amlAnin', 'c)tigmatA', 'd)sambALha')
('mahAvAkya', 'a)upanizad', 'b)parajanaH', 'c)pramehaH', 'd)mahaH')
('paYca', 'a)brahma', 'b)roDakzamatA', 'c)pENgala', 'd)gaRIkaraRam')
('prARAgni', 'a)hotra', 'b)garvahIna', 'c)upAsaNgaH', 'd)izwakAnyAsakftaH')
('gopAla', 'a)tapaRi', 'b)tattvam', 'c)AdeSaH', 'd)mUrDA')
('kfzRa', 'a)upanizad', 'b)pAlanam', 'c)saMSoDaya', 'd)viSezavargam')
('yAjYavalkya', 'a)upanizad', 'b)qomiNgonagaram', 'c)agnyutpAtaH', 'd)aBirakzita')
('varAha', 'a)upanizad', 'b)mAhAtmyam', 'c)pratyAgamanam', 'd)sadat')
('SAtyAyani', 'a)upanizad', 'b)saMSoDaya', 'c)sApatnyam', 'd)vivAdagrasta')
('hayagrIva', 'a)upanizad', 'b)prakzAlaya', 'c)loBanIyatama', 'd)tASakandanagaram')
('dattAtreya', 'a)upanizad', 'b)citram', 'c)jYApita', 'd)yogaH')
('gAruqa', 'a)upanizad', 'b)ananuyoktavya', 'c)karRe', 'd)aparAjitA')
('kali', 'a)saRwAraRa', 'b)AdA', 'c)nirapahnava', 'd)rAjatA')
('jAbAla', 'a)upanizad', 'b)jIvaH', 'c)vanam', 'd)aBiDAnam')
('sOBAgya', 'a)upanizad', 'b)spand', 'c)AScaryam', 'd)samunnadDa')
('sarasvatI', 'a)rahasya', 'b)BayAkula', 'c)varaRam', 'd)vikAsaH')
('bahvfca', 'a)upanizad', 'b)tanutvac', 'c)satvaratA', 'd)kalpa')
('muktikA', 'a)muktikopanizad', 'b)viBedaya', 'c)jananI', 'd)apahArita')
('SaNKapuzpI', 'a)SaNKAhvA', 'b)vimuc', 'c)gfham', 'd)kumBaH')
('aparAjitaH', 'a)adrikarRI', 'b)SirAvftam', 'c)devavallaBaH', 'd)AKyAyakaH')
('SaNKadrAvaH', 'a)SaNKadrAvakaH', 'b)anagni', 'c)sinDukaH', 'd)indrasAvarRiH')
('amlavetasaH', 'a)raktasAraH', 'b)AnukUlyam', 'c)mOliH', 'd)pravep')
('yAjYavalkyaH', 'a)brahmarAtriH', 'b)Amram', 'c)Cinna', 'd)SiKaRqI')
('vaMSaH', 'a)ikzuyoniH', 'b)Bojaka', 'c)jIvARunASanam', 'd)nIlavarRA')
('plavaH', 'a)gAtrasamplavaH', 'b)prAramBika', 'c)mlecCaBojanaH', 'd)vid')
('madguH', 'a)matsyaveDanI', 'b)naKam', 'c)vESyaH', 'd)samudraPenaH')
('yAjYikaH', 'a)yAjakaH', 'b)mukulam', 'c)BfguvAraH', 'd)AplAvaH')
('yajYiyaH', 'a)yajYIyaH', 'b)devagirA', 'c)prapIqita', 'd)plavakaH')
('hayagrIvaH', 'a)hayaSIrzaH', 'b)praBAz', 'c)durbudDiH', 'd)AnfSaMsyam')
('hayagrIvaH', 'a)brahmavedaprahartA', 'b)inqiyana', 'c)nirupadrava', 'd)Jelama')
('tApasaH', 'a)tAmarasaH', 'b)mArgavartmasu', 'c)naqAdigaRe', 'd)hrIRa')
('sArasaH', 'a)gonardaH', 'b)vivf', 'c)vyApAdaka', 'd)mfgayA')
('mahendraH', 'a)indragiriH', 'b)samarodgITaH', 'c)varAhaH', 'd)alindaH')
('vizalatA', 'a)aruRA', 'b)anDatAmasam', 'c)SAtyAyaniH', 'd)trapus')
('mahendravAruRI', 'a)viSAlA', 'b)De', 'c)kuSasTalI', 'd)DUlikA')
('hastaliKitatajjYaH', 'a)hastaliKitanipuRaH', 'b)praRayakaTA', 'c)garBa', 'd)devakaH')
('hastaliKitatajjYaH', 'a)hastaliKitanipuRaH', 'b)suparRaH', 'c)vITiH', 'd)SamBuvallaBam')
('manuzyaH', 'a)mAnavajAtiH', 'b)vyApAraH', 'c)i', 'd)pApAtman')
('muzkaH', 'a)mocakaH', 'b)svABimAnam', 'c)jEvika', 'd)binduH')
('DIra', 'a)vIra', 'b)alpAyu', 'c)anastamita', 'd)vatiH')
('yAcanA', 'a)atiyAcanam', 'b)upamA', 'c)dantaPenaH', 'd)parigaRanA')
('galagaRqaH', 'a)gaRqaH', 'b)prajYAta', 'c)avasad', 'd)SuBakAmanA')
('jayantaH', 'a)pAkaSAsaniH', 'b)pUjita', 'c)etAvat', 'd)Ayam')
('SrIvardDanaH', 'a)SrIvardDanarAgaH', 'b)kararuhaH', 'c)katArA', 'd)anuviDA')
('SarAliH', 'a)SarAwiH', 'b)sAvarakaramahodayaH', 'c)upanizad', 'd)daliH')
('BUkAkaH', 'a)AqiH', 'b)han', 'c)kuwI', 'd)swewa')
('muktAsanam', 'a)sidDAsanam', 'b)vartaniH', 'c)jawAlaH', 'd)lakzaya')
('abADya', 'a)apratibanDa', 'b)prasidDa', 'c)sAo', 'd)Anukalpika')
('jalAQya', 'a)kacCa', 'b)kfttiH', 'c)pf', 'd)prakzal')
('tritayam', 'a)trayam', 'b)BAtfttavam', 'c)AsTApanam', 'd)hatabudDiH')
('grahaRam', 'a)grahaH', 'b)sulakzaRa', 'c)kfzikA', 'd)muKAsrAvaH')
('kaRqanam', 'a)bahulIkaraRam', 'b)vizaBft', 'c)vikziptacittA', 'd)nikawatama')
('sPowanaBftiH', 'a)nizpavaRaBftiH', 'b)pi', 'c)lukAsaPilma', 'd)susama')
('kaRqanaBftiH', 'a)bahulIkaraRaBftiH', 'b)nirvartaya', 'c)ciklidam', 'd)udyoga')
('trikftvaH', 'a)triH', 'b)amitra', 'c)kiRaH', 'd)vAmetara')
('pIWikA', 'a)pIWam', 'b)krayArohaH', 'c)dyu', 'd)karavaqavallI')
('ratnamAlA', 'a)kaRWABaraRam', 'b)arTI', 'c)uttejanaH', 'd)aDimAMsakaH')
('kulAlI', 'a)kumBakArI', 'b)suBAzitam', 'c)sanAtanakAlaH', 'd)damyaH')
('taNkaH', 'a)pAzARadArakaH', 'b)apavitratA', 'c)BUyizWa', 'd)nityam')
('strIjita', 'a)strIvaSa', 'b)muKaraH', 'c)BUpatiH', 'd)pramATI')
('vaSyatA', 'a)parADInatA', 'b)kftajYa', 'c)niviS', 'd)suviDAyukta')
('prayAgaH', 'a)prayAgakaH', 'b)jayastamBaH', 'c)saMviDA', 'd)strIvaSya')
('CalaH', 'a)Calam', 'b)rocakaH', 'c)kawaBI', 'd)utkIrRa')
('mahan', 'a)mahAn', 'b)pratisAraya', 'c)aDizWita', 'd)AjiH')
('udvahanam', 'a)udvahanI', 'b)tArABraH', 'c)tArADipaH', 'd)kzemakarmA')
('indoranagaram', 'a)indoram', 'b)vESAKaH', 'c)maRqalam', 'd)vivAdin')
('udayapuranagaram', 'a)udayapuram', 'b)yajamAnaH', 'c)kAruRikatA', 'd)tanUnapAt')
('ambAlAnagaram', 'a)ambAlA', 'b)nirIkzaRam', 'c)udubj', 'd)BAravAhaH')
('prAgvAtaH', 'a)pUrvavAyuH', 'b)navaviDABaktiH', 'c)uttama', 'd)satyaSIla')
('anusaraRam', 'a)pAlanam', 'b)asti', 'c)saMyukta', 'd)yajYiyaH')
('yOgikaH', 'a)yOgikA', 'b)pApAt', 'c)udubj', 'd)kakudaH')
('yaTocitam', 'a)yaTArhaH', 'b)pramuKatA', 'c)anugrahaba', 'd)darvI')
('SlakzRaSilA', 'a)tanuSilA', 'b)veRI', 'c)suzavI', 'd)saGozavikrayaH')
('jYAnI', 'a)yogI', 'b)jIrRa', 'c)bohita', 'd)hariH')
('yogI', 'a)tapasvI', 'b)anaGa', 'c)kAmavallaBaH', 'd)paridevanAnam')
('setukaH', 'a)uttaraRasetuH', 'b)duHsADya', 'c)keSamaRqalaH', 'd)dUtisanDAnam')
('rakzA', 'a)rakzAsUtram', 'b)SoRaH', 'c)pakzarahita', 'd)darduraH')
('rakta', 'a)rAgamaya', 'b)antarrAzwrIya', 'c)duzprApya', 'd)jIvanam')
('reBaRam', 'a)mezarutam', 'b)svIkAraleKaH', 'c)apakAraH', 'd)rasAgrajam')
('aboDagamya', 'a)aboDanIya', 'b)rAjaparivAraH', 'c)SeksapiyaramahodayaH', 'd)kuRWatA')
('avyaktavAdI', 'a)aspazwavAdI', 'b)apavargaH', 'c)bIjaruhaH', 'd)kArzApaRam')
('abja', 'a)jalaja', 'b)saMsaYj', 'c)maDupuzpaH', 'd)romeSaH')
('abjaH', 'a)niculaH', 'b)banDuH', 'c)caYcusUciH', 'd)avanamaya')
('niculaH', 'a)nicUlaH', 'b)ga', 'c)gula', 'd)garBatvam')
('sTagita', 'a)asantata', 'b)lavaNgapuzpam', 'c)kASI', 'd)dInatA')
('durAsada', 'a)durDarza', 'b)pracCedaH', 'c)vivaraRam', 'd)pavitrakaH')
('kaWina', 'a)klizwa', 'b)udgam', 'c)gaRikAvfttiH', 'd)kAlakaRWaH')
('BaNguratA', 'a)sukumAratA', 'b)aSIta', 'c)tamomaRiH', 'd)vinA')
('dAyaH', 'a)dAnaH', 'b)vyavahAraH', 'c)pradarSanI', 'd)upAsikA')
('nizeDaH', 'a)nizidDiH', 'b)suKaSAlA', 'c)hA', 'd)saMpad')
('pramAdaH', 'a)sKalanam', 'b)kAcaH', 'c)cakrANgI', 'd)priyavAdinI')
('samudriya', 'a)samudraja', 'b)prakup', 'c)mahApApam', 'd)Put')
('dvArakA', 'a)abDinagarI', 'b)sahaH', 'c)BUgolavidyA', 'd)nirvfttiH')
('pakzadvAram', 'a)morikA', 'b)dOzwyam', 'c)kutra', 'd)avaroDapUrRa')
('badarInATakzetram', 'a)badarInATaH', 'b)vasusArA', 'c)strIsaNgrahaH', 'd)ftumatI')
('jagannATaH', 'a)jagannATapuram', 'b)SlokaH', 'c)viSizwatvam', 'd)darpakaH')
('bahuvalkaH', 'a)nIlAsanaH', 'b)aparicitaH', 'c)upasTitA', 'd)udvamaya')
('yanturam', 'a)yantuH', 'b)A', 'c)vfttiH', 'd)UdalaH')
('kAlaniyantrakaH', 'a)samayaniyantrakaH', 'b)parAs', 'c)jantuGnam', 'd)nizecanam')
('Ardranayana', 'a)udaSru', 'b)rajasvalA', 'c)aNgarAw', 'd)jaraRA')
('avasaravAditA', 'a)svArTaparatA', 'b)tamAlaH', 'c)candraraSmiH', 'd)upaprakAraH')
('prasarA', 'a)prasAriRI', 'b)upAntaBAgaH', 'c)padam', 'd)brahma')
('dIpaH', 'a)prakASaH', 'b)utsargaH', 'c)parizecanam', 'd)patrasaMvAdaH')
('UrmikA', 'a)UrmiH', 'b)aboDagamya', 'c)javAharalAlaneharumahodayaH', 'd)uda')
('KalatA', 'a)cAMqAlatA', 'b)SIGragAmin', 'c)tIkzRaganDakaH', 'd)nOvyasanam')
('sandaSaH', 'a)sandaSakaH', 'b)karRajalOkAH', 'c)praBupradatta', 'd)karkaSA')
('sandaSakaH', 'a)sandaSakA', 'b)AcAravarjita', 'c)apanilI', 'd)kzatriyA')
('parAvartanam', 'a)vakrIBAvaH', 'b)kaRWaH', 'c)aBedaH', 'd)vivac')
('rAjamAzaH', 'a)nIlamAzaH', 'b)BAgyasampad', 'c)Amram', 'd)karakaH')
('arDakaH', 'a)kAlakandakaH', 'b)kumBakAmalA', 'c)kasaH', 'd)kuntalaH')
('abrAhmaRyam', 'a)abrahmaRyam', 'b)ulUkaH', 'c)yUpaH', 'd)tejomaRqita')
('apakarma', 'a)viBramaH', 'b)rAzwravyApin', 'c)ulleKaH', 'd)prativihita')
('parAvartakaH', 'a)pratikzepakaH', 'b)jalAQya', 'c)parAmfS', 'd)Sizya')
('sOvarRa', 'a)hEma', 'b)saMyuktAkzaram', 'c)haMsakaH', 'd)nyAsaH')
('SaSvat', 'a)cirakAlika', 'b)AkAragopanam', 'c)pratyASita', 'd)ulleKaH')
('SyenaH', 'a)patrI', 'b)mfdu', 'c)arGaM', 'd)maRqUkaparRI')
('amaratA', 'a)anaSvaratA', 'b)tAntavam', 'c)sAnanda', 'd)amla')
('trimukuwaH', 'a)triSiKaraH', 'b)kacCaH', 'c)pUtinASaka', 'd)antarDArA')
('aBayadAnam', 'a)aBayavacanam', 'b)dravaH', 'c)prasKaladgatiH', 'd)vEmalyam')
('nirApad', 'a)nirupadrava', 'b)arjanIya', 'c)nakzatram', 'd)saMmiSrita')
('nirApad', 'a)niHSaNka', 'b)saraladravaH', 'c)tuk', 'd)cidAmbaram')
('atyUhaH', 'a)kAkamadguH', 'b)fjutA', 'c)grahayogaH', 'd)nirgamanam')
('BekaH', 'a)praBekaH', 'b)udac', 'c)sopAnaSreRI', 'd)vanIpakaH')
('kzAlanayantram', 'a)DAvitram', 'b)upapad', 'c)pratyantaparvatam', 'd)hrezA')
('rAjasvarRaH', 'a)BrAntaH', 'b)SIGratA', 'c)tripuwaH', 'd)nOkAsTAnam')
('guruH', 'a)jyezWaH', 'b)sTaleruhA', 'c)urmiH', 'd)ahata')
('pariSramI', 'a)udyamI', 'b)sadyaH', 'c)pariBram', 'd)prARahInaH')
('SukaPalaH', 'a)vikzIraH', 'b)amAnuzika', 'c)vyaYjanam', 'd)kAdama')
('aviBAjya', 'a)avicCedya', 'b)jUvam', 'c)govizWA', 'd)sImantakam')
('skvASa', 'a)krIqA', 'b)yugyam', 'c)pratApaH', 'd)darSI')
('aNkam', 'a)cihnam', 'b)navakaH', 'c)sPawI', 'd)DAtvika')
('gfhakaH', 'a)kuwI', 'b)Sizwam', 'c)suKadevaTAparaH', 'd)vayaskA')
('utKAta', 'a)KAta', 'b)pratikUlatA', 'c)karaRqaH', 'd)kuliNgI')
('ayoGanaH', 'a)mudgaraH', 'b)aBiDU', 'c)maDurAlApatA', 'd)snAtakaH')
('sama', 'a)samAna', 'b)aNkuraH', 'c)piculaH', 'd)svatantrA')
('SARaH', 'a)SARI', 'b)BrAntaH', 'c)aBirAmatA', 'd)arAjakatvam')
('nirDana', 'a)kzudra', 'b)SIrzakam', 'c)nIlimA', 'd)aKaRqakalaH')
('aBAvanA', 'a)acEtanyam', 'b)arkakzIram', 'c)Dfti', 'd)mAmaka')
('aBAvanIya', 'a)acintanIya', 'b)kendram', 'c)ASaNkita', 'd)riputA')
('pratiniDitvam', 'a)vyapadeSaH', 'b)rAjakozIya', 'c)sPowanam', 'd)gurupattrA')
('SalAkA', 'a)dantaDAvanam', 'b)saMvahanam', 'c)vEduzyam', 'd)melaya')
('racaya', 'a)viracaya', 'b)caraRapAtaH', 'c)mApanam', 'd)mahABUtam')
('aBiyAyin', 'a)aBiprayAyin', 'b)vinazwa', 'c)SiKaRqikA', 'd)aSuBavArtA')
('gfhIta', 'a)aBigfhIta', 'b)piNgalaH', 'c)AhAraH', 'd)SokaH')
('sinDuH', 'a)sinDurAgaH', 'b)sPur', 'c)gopI', 'd)Acakz')
('sinDuH', 'a)sinDunadI', 'b)sarvatra', 'c)rAjIvarAsaBaH', 'd)prapac')
('samIcIna', 'a)yaTArTa', 'b)Sukla', 'c)bENkaH', 'd)navavivAhita')
('siYcanam', 'a)nizecanam', 'b)SvasanaH', 'c)vIkz', 'd)aDunAtana')
('paNkamaya', 'a)paNkavat', 'b)jIvitakAlaH', 'c)BUbadarI', 'd)malayagiriH')
('hatyA', 'a)vaDaH', 'b)AtmasantozaH', 'c)caRqAtaH', 'd)sarvopakArI')
('arjanam', 'a)upArjanam', 'b)vid', 'c)SvetaruDirakaRikA', 'd)SaravaH')
('DArA', 'a)pravAhaH', 'b)anaBra', 'c)daDijam', 'd)QaNkaH')
('gopAlakaH', 'a)gopaH', 'b)tfRatA', 'c)mAtftvam', 'd)anupasTAyin')
('BARqAgArikaH', 'a)kozWapAlaH', 'b)ajAsuraH', 'c)SAs', 'd)anugam')
('gopikA', 'a)gopI', 'b)SfgAlikA', 'c)vyaT', 'd)p')
('gopI', 'a)gopikA', 'b)yudDam', 'c)antrAdaH', 'd)pratiroDaH')
('gopI', 'a)gopIkA', 'b)maDyavartitA', 'c)rAjanyaH', 'd)Alolanam')
('suzumnA', 'a)kUrmaH', 'b)vyavavlI', 'c)hiraRyagarBaH', 'd)kawaH')
('atyAcArI', 'a)anAcArI', 'b)kUp', 'c)AjigIzu', 'd)veDanIya')
('tittiraH', 'a)cakoraH', 'b)varkaraH', 'c)lakzmIH', 'd)ajanaH')
('kulInatA', 'a)aBijAtatA', 'b)garvitaH', 'c)kfzRavarRIya', 'd)Uh')
('utpalam', 'a)nIrajaH', 'b)spriNga', 'c)apakrI', 'd)Suc')
('kandaH', 'a)kandam', 'b)Arya', 'c)GanasamayaH', 'd)vegitA')
('sKalitam', 'a)prakampaH', 'b)cezwAlu', 'c)mOliH', 'd)saDanaH')
('asTira', 'a)avyavasTita', 'b)vyAjaH', 'c)antarrAzwrIya', 'd)brahmARqam')
('avyavasTA', 'a)anavasTA', 'b)vartamAnakAlaH', 'c)nidarSanam', 'd)AdyUnaH')
('patravAhanam', 'a)drAkayAnam', 'b)sOBrAtram', 'c)pARqakasya', 'd)parizkfta')
('rAjAvartaH', 'a)nfpAvartaH', 'b)mahAmagaraM', 'c)dUrIkaraRam', 'd)praklinna')
('lAwaH', 'a)lAwam', 'b)sfzwiH', 'c)lomaSaH', 'd)vizApahA')
('dravita', 'a)dravIBUta', 'b)bakowaH', 'c)sTalam', 'd)yUkaH')
('dravita', 'a)dravIBUta', 'b)kzodaH', 'c)dah', 'd)kumBakArI')
('aBijYA', 'a)smftiH', 'b)susidDa', 'c)a', 'd)suraBita')
('paricita', 'a)aBijYAta', 'b)ASukopin', 'c)indraH', 'd)navIna')
('kftyam', 'a)kftam', 'b)dAtyOhaH', 'c)saMyukta', 'd)sUt')
('parAkramaH', 'a)sukftakarma', 'b)jAnu', 'c)anuSAsanika', 'd)aDikArIvargaH')
('sindabAdanAvikaH', 'a)sindabAdaH', 'b)nASaya', 'c)satyavftta', 'd)avakIrRaH')
('pASaH', 'a)pASabanDaH', 'b)jihvA', 'c)vfkAsuraH', 'd)vArta')
('raTASvaH', 'a)raTavAhaH', 'b)sten', 'c)tantrikAtantra', 'd)aravindam')
('udGozakaH', 'a)pawahaGozakaH', 'b)darSana', 'c)prAptayOvanaH', 'd)aBijYAta')
('AkAraRam', 'a)samAhvAnam', 'b)prabala', 'c)suKam', 'd)rikzA')
('nAgaraH', 'a)nAgarikaH', 'b)ruciraprastaraH', 'c)bAnDavaH', 'd)nAgadeRwikA')
('grAmikaH', 'a)grAmin', 'b)utsecanam', 'c)anAryatva', 'd)pariDA')
('Avftta', 'a)punarukta', 'b)anarGya', 'c)prabadaraH', 'd)narI')
('ullaNGita', 'a)laNGita', 'b)saMDukz', 'c)uparuDa', 'd)girikarRA')
('pralI', 'a)vilI', 'b)manTaraH', 'c)pramodin', 'd)vasA')
('SvAsanalikA', 'a)kaRWapraRAlI', 'b)miTyAvAdaH', 'c)suvacanam', 'd)kzatipUraRam')
('asaMyata', 'a)ucCfNKala', 'b)akzemaH', 'c)ramBA', 'd)pAlanam')
('vakra', 'a)kuwila', 'b)candraSeKaraH', 'c)niguhanam', 'd)vedijA')
('nAmaPalakaH', 'a)nAmaPalakam', 'b)jAlinI', 'c)mAMsalaH', 'd)virala')
('vyAKyAnam', 'a)prapAWaH', 'b)koSapewakaH', 'c)Askand', 'd)tozaH')
('SiTila', 'a)viprakIrRa', 'b)anuSAs', 'c)leKanI', 'd)nissahAyatA')
('SiTila', 'a)virala', 'b)bAhutrARam', 'c)purogAmin', 'd)apapracAraH')
('aNkasUciH', 'a)aNkAnukramaRikA', 'b)brahmavedaprahartA', 'c)BiRqA', 'd)tumburu')
('pramatta', 'a)surAmatta', 'b)mARavaH', 'c)varzatram', 'd)aNgAraH')
('nAgakesaraH', 'a)nAgakeSaraH', 'b)BfNgaH', 'c)BrezaH', 'd)man')
('sitapuzpaH', 'a)SaratpuzpaH', 'b)drumAmayaH', 'c)avasanna', 'd)IzIkA')
('anujYAPalakam', 'a)anumatiPalakam', 'b)kArSyaH', 'c)asfk', 'd)saMkaraja')
('paraMparAvAdI', 'a)paraMparAvAdinI', 'b)apoh', 'c)jIvaya', 'd)SAlInatA')
('nadIkUlam', 'a)tawam', 'b)damaya', 'c)prage', 'd)SarSarIka')
('kanizWa', 'a)kanIyas', 'b)kAYcIpuram', 'c)viBUzaRam', 'd)nivedaya')
('svadeSaSatruH', 'a)svadeSaGAtakaH', 'b)arTahIna', 'c)saMSlezaRam', 'd)santrasta')
('cozya', 'a)cozaRIya', 'b)nistF', 'c)naBasvAn', 'd)vilokaya')
('cUzaRam', 'a)cozaRam', 'b)KagaH', 'c)tandravAyaH', 'd)uqqAyaya')
('karakA', 'a)varzaSilA', 'b)utsargaH', 'c)uttAraya', 'd)harimanTajaH')
('deSaBakta', 'a)rAzwraBakta', 'b)DfzuH', 'c)gaRanATaH', 'd)Ayas')
('krIta', 'a)parikrIta', 'b)Cidra', 'c)paryastikA', 'd)saMmiSrIkf')
('leKapatram', 'a)leKapatrikA', 'b)AyataH', 'c)ahirbuDnyAH', 'd)leKanapadDatiH')
('racanam', 'a)saMniveSaH', 'b)anudyogaH', 'c)bAlaH', 'd)AliH')
('leKapatram', 'a)leKapatrikA', 'b)sugrIvaH', 'c)manda', 'd)kuz')
('SIta', 'a)jaqa', 'b)"saH', 'c)SvetavarRaH', 'd)sAmBas')
('kuWAraH', 'a)kuWArI', 'b)ADA', 'c)sarvaBakzin', 'd)malAmfjA')
('aBijYAnam', 'a)mAnyatA', 'b)niculaH', 'c)kUragIBAzA', 'd)amalIkf')
('dagDa', 'a)saMdagDa', 'b)nirvad', 'c)svakfta', 'd)viniveSaH')
('grAmADikArI', 'a)grAmasevakaH', 'b)asaMvfta', 'c)avitaTam', 'd)melanam')
('vAskoqigAmAmahodayaH', 'a)vAskoqigAmA', 'b)devAyuDam', 'c)utsavaH', 'd)SESavakAlaH')
('aBitfpta', 'a)vitfpta', 'b)KaRqaya', 'c)puzpaveRI', 'd)acetanatA')
('arpaya', 'a)samarpaya', 'b)sannihita', 'c)kiSoraH', 'd)jakzaRam')
('kAzWatantuH', 'a)kozakAraH', 'b)ISAnaH', 'c)praspand', 'd)pAdatrARam')
('prayojanavatI', 'a)lakzaRA', 'b)EpI', 'c)ArdrIkf', 'd)Ayasam')
('kAbulanadI', 'a)kAbulA', 'b)dvikakud', 'c)vyutpad', 'd)arTaSAstrajYaH')
('rakta', 'a)saNkrAmaRam', 'b)muc', 'c)vajradana', 'd)Cid')
('pAragamanam', 'a)saNkramaRam', 'b)sara', 'c)yojanA', 'd)kanDaraH')
('dehAntaraprAptiH', 'a)saMsftiH', 'b)Sravasya', 'c)kAleyam', 'd)Ardrakam')
('bAlagItam', 'a)bAlagAnam', 'b)satya', 'c)mandawaH', 'd)AstaraRam')
('kuwwanakarma', 'a)avahananakarma', 'b)komalANga', 'c)udgAraya', 'd)prAp')
('vAcya', 'a)aBiDeya', 'b)raktamaYjaraH', 'c)dIpakaH', 'd)viBaktiH')
('pratipAdya', 'a)aBiDeya', 'b)amaraH', 'c)DavalapakzaH', 'd)antaram')
('vAcyArTaH', 'a)aBiDArTaH', 'b)hastaliKitam', 'c)pratiBAsaH', 'd)nyUnamUlyatvam')
('maDura', 'a)rucira', 'b)hindukuSaH', 'c)SlIpadam', 'd)parisyandin')
('aDavASramaH', 'a)viDavASramaH', 'b)parparI', 'c)amerikAdeSaH', 'd)atirAgatA')
('lokatantrIyaH', 'a)prajAtantrIyaH', 'b)vAdaH', 'c)karuRAhInatA', 'd)arham')
('yajYIya', 'a)yajuzya', 'b)pAtanam', 'c)kulika', 'd)kIraH')
('SUlaH', 'a)SUlam', 'b)KagaH', 'c)muktiH', 'd)avasannatA')
('vinobABAvemahodayaH', 'a)AcAryavinobABAve', 'b)GawanA', 'c)SuBra', 'd)radanaH')
('mftyuSaNkA', 'a)mftaSaNkA', 'b)dozI', 'c)SaktihInatA', 'd)kaWillaH')
('nigrahaH', 'a)avagrahaH', 'b)dvArakaRwakaH', 'c)nizpApa', 'd)garuqodgIrRam')
('nizkAsita', 'a)bahizkfta', 'b)udGuz', 'c)iRqiyA', 'd)vAraM')
('viroDakaH', 'a)viroDI', 'b)patre', 'c)marAlI', 'd)kowaram')
('akzasUtram', 'a)japamAlA', 'b)SrutiH', 'c)prakASaH', 'd)rogiRI')
('niHsAra', 'a)asAra', 'b)Sulkam', 'c)durAsada', 'd)mahendranagarI')
('asAra', 'a)anarTa', 'b)anivArita', 'c)dvijAtiH', 'd)raktima')
('aDikArin', 'a)niyukta', 'b)udDAraH', 'c)holAkA', 'd)prakramaH')
('vfzwa', 'a)aBivfzwa', 'b)tejaH', 'c)daRqakAraRyam', 'd)AlindaH')
('dAhaH', 'a)dahanam', 'b)samprasUya', 'c)mETu', 'd)duzwiH')
('aTo', 'a)aTa', 'b)anuBrAj', 'c)muSaladaRqaH', 'd)kambalam')
('ataHparam', 'a)ataH', 'b)pAtrA', 'c)eva', 'd)pawam')
('vyavasTA', 'a)prabanDaH', 'b)Badrakulam', 'c)swewa', 'd)anilAmayaH')
('druta', 'a)drutagAmin', 'b)anupraT', 'c)kitavaH', 'd)Df')
('tvarita', 'a)Atyayika', 'b)anaBilAzA', 'c)BujizyaH', 'd)upanizad')
('svaritaH', 'a)svaritam', 'b)pariKyAtiH', 'c)mahAraRyam', 'd)vastrAlayaH')
('arDanArISvaraH', 'a)arDanArISaH', 'b)pratikftiH', 'c)manaHkalpita', 'd)hradaH')
('vyavasTA', 'a)viracanA', 'b)vakraSalyA', 'c)as', 'd)nedizWaH')
('reKAcitram', 'a)varRanA', 'b)nivAsI', 'c)AdaraH', 'd)vicAraRA')
('devANganA', 'a)amarI', 'b)nagaram', 'c)AtmIyatA', 'd)kuberaH')
('antarvedI', 'a)antarvediH', 'b)mADavaH', 'c)tAmrapAtram', 'd)SoRaH')
('rukzatA', 'a)rukzatvam', 'b)nakulezwA', 'c)saMsTA', 'd)sUtiH')
('kArkaSyam', 'a)rUkzatA', 'b)anuSAs', 'c)divAnDaH', 'd)SarIrI')
('tosalaH', 'a)tosalakaH', 'b)sArvakAlika', 'c)yAmalam', 'd)karicCadam')
('tozaRam', 'a)tfptiH', 'b)Anamita', 'c)nagavat', 'd)cakrI')
('santozaya', 'a)tozaya', 'b)rAsAyanika', 'c)hAsya', 'd)viyA')
('unmattA', 'a)vAtulA', 'b)SiKI', 'c)avicala', 'd)yamarAw')
('aBiyukta', 'a)aBiSasta', 'b)parivraj', 'c)nAda', 'd)unnatiH')
('aBiyuktaH', 'a)AropI', 'b)saMpad', 'c)parimARam', 'd)kalpuza')
('vIRAprasevaH', 'a)prasevakaH', 'b)paricArikA', 'c)SrAdDakarma', 'd)krAntivfttam')
('nimezaH', 'a)nimizaH', 'b)avyApaka', 'c)nipA', 'd)AmraH')
('AtAyI', 'a)pAjikaH', 'b)janakaH', 'c)SoBA', 'd)SaSAdaH')
('kfzRaparRI', 'a)kfzRamallikA', 'b)SoTaGnI', 'c)vimarSaya', 'd)saMsAracakram')
('vaॉSiNgwanaqIsInagaram', 'a)vASiNgwananagaram', 'b)kArpAsam', 'c)nirvapaRam', 'd)antarAvedI')
('senwa', 'a)jaॉnsanagaram', 'b)eqokaH', 'c)dantI', 'd)nirgamanam')
('boenasa', 'a)erisanagaram', 'b)stavaH', 'c)cewakaH', 'd)dozaH')
('soPiyAnagaram', 'a)seraqikAnagaram', 'b)tallikA', 'c)avanij', 'd)drutagAmin')
